item_id,reference_string,candidate_evidence_title,coder_label,coder_notes
R019,Effects of mosquito control using the microbial agent Bacillus thuringiensis israelensis (Bti) on aquatic and terrestrial ecosystems: a systematic review. Environmental Evidence. 2023.,Effects of mosquito control using the microbial agent Bacillus thuringiensis israelensis (Bti) on aquatic and terrestrial ecosystems: a systematic review,,
R020,Automated MeSH Term Suggestion for Effective Query Formulation in Systematic Reviews Literature Search. arXiv Preprint. 2022.,Automated MeSH Term Suggestion for Effective Query Formulation in Systematic Reviews Literature Search,,
R021,Time to challenge the spurious hierarchy of systematic over narrative reviews?. European Journal of Clinical Investigation. 2018.,Trends and Challenges in Water Governance Systematic Review and Bibliographic Study of Scientific Publications (2018–2025),,
R022,The effects and safety of testosterone replacement therapy for men with hypogonadism: the TestES evidence synthesis and economic evaluation.. Health Technology Assessment. 2024.,Trials and Evidence Synthesis,,
R023,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,,
R024,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,,
R025,Reviewer #2 (Public review): SICKO: Systematic Imaging of Caenorhabditis Killing Organisms. CrossRef. 2025.,Reviewer #1 (Public Review): A systematic review and meta-analysis of eyespot anti-predator mechanisms,,
R026,Energy and transport research towards net zero targets and climate change mitigation. A systematic review of evidence communication for policy makers.. CrossRef. 2024.,Climate Change and Financial Policy: A Literature Review,,
R027,Artificial intelligence in headache medicine: between automation and the doctor-patient relationship. A systematic review. The Journal of Headache and Pain. 2025.,Artificial intelligence and neuroscience: A systematic review,,
R028,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,,
R029,Towards Robust Fact-Checking: A Multi-Agent System with Advanced Evidence Retrieval. arXiv Preprint. 2025.,Multi-agent systems: A survey,,
R030,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Trials and Evidence Synthesis,,
R031,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,,
R032,The effects and safety of testosterone replacement therapy for men with hypogonadism: the TestES evidence synthesis and economic evaluation.. Health Technology Assessment. 2024.,The effects and safety of testosterone replacement therapy for men with hypogonadism: the TestES evidence synthesis and economic evaluation.,,
R033,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis. CrossRef. 2025.,Evidence Synthesis Methods,,
R034,MANTRA: Enhancing Automated Method-Level Refactoring with Contextual RAG and Multi-Agent LLM Collaboration. arXiv.org. 2025.,MANTRA: Enhancing Automated Method-Level Refactoring with Contextual RAG and Multi-Agent LLM Collaboration,,
R035,What factors contribute to the acceptance of artificial intelligence? A systematic review. Telematics and Informatics. 2022.,Artificial intelligence and neuroscience: A systematic review,,
R036,"How Do Reinforcement Learning Algorithms Optimize Trading Strategies in Financial Markets Compared to Traditional Trading Approaches? A Literature Review. Advances in Economics, Management and Political Sciences. 2025.",How Do Reinforcement Learning Algorithms Optimize Trading Strategies in Financial Markets Compared to Traditional Trading Approaches? A Literature Review,,
R037,"AI or Human? An Analysis of University Students' Awareness of Reference Services Agent. D Wang, J Guo, K Zheng - International Conference on Asian Digital …, 2024 - Springer. 2024.",A survey of ai agent protocols,,
R038,The future of ChatGPT in academic research and publishing: A commentary for <i>clinical and translational medicine</i>. Clinical and Translational Medicine. 2023.,The future of ChatGPT in academic research and publishing: A commentary for <i>clinical and translational medicine</i>,,
R039,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis. CrossRef. 2025.,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis,,
R040,"Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care. International Journal of Latest Technology in Engineering Management & Applied Science. 2025.","Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care",,
