pair_id,query_id,domain,gold_label,single_label,arl_analyst_label,arl_critic_label,arl_final_label,single_correct,arl_correct,reference_string,candidate_evidence_title,elapsed_seconds
TM016,Q57,multi_agent_information_services,match,match,match,match,match,True,True,Parrot: Efficient Serving of LLM-based Applications with Semantic Variable. arXiv (Cornell University). 2024.,Parrot: Efficient Serving of LLM-based Applications with Semantic Variable,13.970000000000002
TM017,Q203,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,The effects and safety of testosterone replacement therapy for men with hypogonadism: the TestES evidence synthesis and economic evaluation.. Health Technology Assessment. 2024.,Trials and Evidence Synthesis,24.207
TM018,Q235,climate_policy_research,match,match,match,match,match,True,True,Activating an evidence-based identity increases the impact of evidence on policymaker beliefs about local climate policies. Environmental Research: Climate. 2023.,Activating an evidence-based identity increases the impact of evidence on policymaker beliefs about local climate policies,17.632
TM019,Q174,biomedical_evidence_synthesis,match,match,match,match,match,True,True,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Open synthesis and the coronavirus pandemic in 2020,14.703
TM020,Q249,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Trials and Evidence Synthesis,21.826000000000004
TM021,Q140,digital_humanities,match,match,match,match,match,True,True,A New Field:<i>History of Humanities</i>. History of Humanities. 2016.,A New Field:<i>History of Humanities</i>,24.755000000000003
TM022,Q118,digital_humanities,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Evaluating the Effectiveness of AI-Assisted Emotional Metadata in Enhancing the Discoverability of Literary Texts in Digital Libraries. Social Sciences & Humanity Research Review. 2025.,The Humanities in the digital,22.34
TM023,Q232,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Methodological Inconsistencies in Nigerian HPV Systematic Reviews: A Meta- Epidemiological Analysis for Evidence-Based Policy. CrossRef. 2025.,Evidence-based design for neonatal units: a systematic review.,15.99
TM024,Q25,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent monitoring information systems,17.818
TM025,Q69,multi_agent_information_services,match,match,match,nonmatch,nonmatch,True,False,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,35.911
TM026,Q61,multi_agent_information_services,match,match,match,nonmatch,nonmatch,True,False,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,67.36099999999999
TM027,Q241,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Multi-agent systems in climate-resilient land-use planning: a review. International Journal of Digital Earth. 2025.,Multi-agent systems: A survey,18.079
TM028,Q111,digital_humanities,match,match,match,match,match,True,True,Bots with Feelings: Should AI Agents Express Positive Emotion in Customer Service?. Information Systems Research. 2022.,Bots with Feelings: Should AI Agents Express Positive Emotion in Customer Service?,13.626999999999999
TM029,Q250,climate_policy_research,match,match,match,match,match,True,True,Energy and transport research towards net zero targets and climate change mitigation. A systematic review of evidence communication for policy makers.. CrossRef. 2024.,Energy and transport research towards net zero targets and climate change mitigation. A systematic review of evidence communication for policy makers.,22.237000000000002
TM030,Q206,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,The (Co)Benefits Portal—an evidence-based and climate policy-relevant tool for decision-making. Environmental Research Letters. 2025.,Towards an Evidence-Based Approach to Climate Policy,36.601
TM031,Q232,climate_policy_research,match,match,match,match,match,True,True,Methodological Inconsistencies in Nigerian HPV Systematic Reviews: A Meta- Epidemiological Analysis for Evidence-Based Policy. CrossRef. 2025.,Methodological Inconsistencies in Nigerian HPV Systematic Reviews: A Meta- Epidemiological Analysis for Evidence-Based Policy,11.8
TM032,Q139,digital_humanities,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Development and evaluation of an automatic text annotation system for supporting digital humanities research. Library hi tech. 2019.,SAVING DIGITAL HUMANITIES,26.947
TM033,Q241,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"LABMATE: Language Model Based Multi-Agent System to Accelerate Catalysis Experiments. SC25-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis. 2025.",MASCEM: Optimizing the performance of a multi-agent system,23.851
TM034,Q101,multi_agent_information_services,match,match,match,match,match,True,True,Knowledge-Informed Multi-Agent Trajectory Prediction at Signalized Intersections for Infrastructure-to-Everything. IEEE transactions on intelligent transportation systems (Print). 2025.,Knowledge-Informed Multi-Agent Trajectory Prediction at Signalized Intersections for Infrastructure-to-Everything,18.934
TM035,Q156,digital_humanities,match,match,match,match,match,True,True,Critical-Reflective Human-AI Collaboration: Exploring Computational Tools for Art Historical Image Retrieval. arXiv Preprint. 2023.,Critical-Reflective Human-AI Collaboration: Exploring Computational Tools for Art Historical Image Retrieval,19.203
TM036,Q07,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,LatteReview: a multi-agent framework for systematic review automation using large language models. arXiv preprint arXiv …. 2025.,Large Language Models for Mental Health Applications: Systematic Review,17.62
TM037,Q193,biomedical_evidence_synthesis,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,31.685000000000002
TM038,Q100,multi_agent_information_services,match,match,match,nonmatch,nonmatch,True,False,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2017.",Multi-agent systems: A survey,23.398
TM039,Q91,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Reviewer #2 (Public review): SICKO: Systematic Imaging of Caenorhabditis Killing Organisms. CrossRef. 2025.,Reviewer #1 (Public Review): A systematic review and meta-analysis of eyespot anti-predator mechanisms,27.008
TM040,Q45,multi_agent_information_services,match,match,match,match,match,True,True,Reviewer #2 (Public review): Agent-based modeling reveals how bats navigate dense group emergences. CrossRef. 2026.,Reviewer #2 (Public review): Agent-based modeling reveals how bats navigate dense group emergences,16.137999999999998
TM041,Q26,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges. Vicinagearth. 2024.",A Survey on LLM-based Multi-Agent AI Hospital,21.819
TM042,Q136,digital_humanities,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Delusions by design? How everyday AIs might be fuelling psychosis (and what can be done about it). OpenAlex. 2025.,"Energy Transitions in Cities: A Comparative Analysis of Policies and Strategies in Hong Kong, London, and Melbourne",13.126000000000001
TM043,Q66,multi_agent_information_services,match,match,match,nonmatch,nonmatch,True,False,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,34.461
TM044,Q56,multi_agent_information_services,match,match,match,match,match,True,True,A visual language model enabling intelligent nanomaterial scanning electron micrograph annotation.. Nanoscale. 2025.,A visual language model enabling intelligent nanomaterial scanning electron micrograph annotation.,21.43
TM045,Q199,biomedical_evidence_synthesis,match,match,match,match,match,True,True,"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review. Environmental Evidence. 2021.","How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review",21.738999999999997
TM046,Q129,digital_humanities,match,match,match,match,match,True,True,"The impacts of decentralization on health system equity, efficiency and resilience: a realist synthesis of the evidence. Health Policy and Planning. 2019.","The impacts of decentralization on health system equity, efficiency and resilience: a realist synthesis of the evidence",14.027
TM047,Q39,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,30.427
TM048,Q201,biomedical_evidence_synthesis,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Effects of mosquito control using the microbial agent Bacillus thuringiensis israelensis (Bti) on aquatic and terrestrial ecosystems: a systematic review. Environmental Evidence. 2023.,Review on Consensus Control of Multi-Agent Systems,20.014
TM049,Q137,digital_humanities,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Leveraging OpenAI’s LLMs and Cloud-based Learning-as-a-Service (LaaS) Solutions to Create Culturally Rich Conversational AI Chatbot: ChatLoS - A Study Using the Legacy of Slavery Dataset. OpenAlex. 2024.,Neural Approaches to Conversational AI,22.698999999999998
TM050,Q57,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Parrot: Efficient Serving of LLM-based Applications with Semantic Variable. arXiv (Cornell University). 2024.,Human-centred learning analytics and AI in education: A systematic literature review,17.598999999999997
TM051,Q06,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,ResearchPilot: A Local-First Multi-Agent System for Literature Synthesis and Related Work Drafting. Semantic Scholar. 2026.,Multi-agent Searching System for Medical Information,23.176
TM052,Q39,multi_agent_information_services,match,match,match,match,match,True,True,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.","A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing",19.045
TM053,Q238,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Editorial: Evidence synthesis for accelerated learning on climate solutions. Campbell Systematic Reviews. 2020.,Evidence Synthesis Methods,23.925999999999995
TM054,Q85,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,What factors contribute to the acceptance of artificial intelligence? A systematic review. Telematics and Informatics. 2022.,Artificial intelligence and neuroscience: A systematic review,17.823
TM055,Q190,biomedical_evidence_synthesis,match,match,match,match,match,True,True,Mapis: A Knowledge-Graph Grounded Multi-Agent Framework for Evidence-Based PCOS Diagnosis. arXiv Preprint. 2025.,Mapis: A Knowledge-Graph Grounded Multi-Agent Framework for Evidence-Based PCOS Diagnosis,15.205
TM056,Q60,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,30.774
TM057,Q197,biomedical_evidence_synthesis,match,match,match,nonmatch,nonmatch,True,False,"Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care. International Journal of Latest Technology in Engineering Management & Applied Science. 2025.","Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care",28.497
TM058,Q68,multi_agent_information_services,match,match,match,match,match,True,True,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.","ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope",23.844
TM059,Q68,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.",Ethics and Floods: A Systematic Review.,20.012
TM060,Q182,biomedical_evidence_synthesis,match,match,match,match,match,True,True,Time to challenge the spurious hierarchy of systematic over narrative reviews?. European Journal of Clinical Investigation. 2018.,Time to challenge the spurious hierarchy of systematic over narrative reviews?,19.384
TM061,Q241,climate_policy_research,match,match,match,match,match,True,True,"LABMATE: Language Model Based Multi-Agent System to Accelerate Catalysis Experiments. SC25-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis. 2025.",LABMATE: Language Model Based Multi-Agent System to Accelerate Catalysis Experiments,15.341
TM062,Q102,multi_agent_information_services,match,match,match,match,match,True,True,KARMA: Leveraging Multi-Agent LLMs for Automated Knowledge Graph Enrichment. arXiv.org. 2025.,KARMA: Leveraging Multi-Agent LLMs for Automated Knowledge Graph Enrichment,15.515999999999998
TM063,Q67,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.",Ethics and Floods: A Systematic Review.,20.131999999999998
TM064,Q198,biomedical_evidence_synthesis,match,match,match,match,match,True,True,How is Real World Evidence taught in Nursing? A Systematic review undertaking a narrative synthesis of the literature (Preprint). CrossRef. 2023.,How is Real World Evidence taught in Nursing? A Systematic review undertaking a narrative synthesis of the literature (Preprint),18.657
TM065,Q190,biomedical_evidence_synthesis,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Mapis: A Knowledge-Graph Grounded Multi-Agent Framework for Evidence-Based PCOS Diagnosis. arXiv Preprint. 2025.,An Efficient Knowledge-Based Framework for Multi-Agent System,32.243
TM066,Q56,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,A visual language model enabling intelligent nanomaterial scanning electron micrograph annotation.. Nanoscale. 2025.,Large language models facilitate the generation of electronic health record phenotyping algorithms,20.503
TM067,Q10,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Can ChatGPT Write a Good Boolean Query for Systematic Review Literature Search?. arXiv Preprint. 2023.,MeSH Term Suggestion for Systematic Review Literature Search,26.262
TM068,Q74,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"6G Wireless Networks: Vision, Requirements, Architecture, and Key Technologies. IEEE Vehicular Technology Magazine. 2019.",Supporting Teachers to Implement Contextualized and Interactive Practices in Vocabulary Instruction,14.982999999999999
TM069,Q30,multi_agent_information_services,match,match,match,match,match,True,True,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search. Information Retrieval and Management. 2018.,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search,18.932000000000002
TM070,Q210,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Just energy business needed! How to achieve a just energy transition by engaging energy companies in reaching climate neutrality: (re)conceptualising energy law for energy corporations. Journal of Energy & Natural Resources Law. 2023.,Measuring the legitimacy of energy transition policy in the Netherlands,21.923
TM071,Q204,climate_policy_research,match,match,match,nonmatch,match,True,True,"Rethink literature review of design research in an age of AI–from 'secretary work'to scholarly synthesis of insight, frameworks, and foresight. Journal of Engineering Design. 2026.","Rethink literature review of design research in an age of AI–from 'secretary work'to scholarly synthesis of insight, frameworks, and foresight",22.113
TM072,Q47,multi_agent_information_services,match,match,match,match,match,True,True,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts,15.407
TM073,Q127,digital_humanities,match,match,match,match,match,True,True,Empirical Evaluation of the Energy Transition Efficiency in the EU-27 Countries over a Decade—A Non-Obvious Perspective. Energies. 2025.,Empirical Evaluation of the Energy Transition Efficiency in the EU-27 Countries over a Decade—A Non-Obvious Perspective,14.788
TM074,Q107,multi_agent_information_services,match,match,match,match,match,True,True,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts,13.161999999999999
TM075,Q220,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Trials and Evidence Synthesis,20.718
TM076,Q199,biomedical_evidence_synthesis,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review. Environmental Evidence. 2021.",How to Do Evidence Synthesis,20.017
TM077,Q26,multi_agent_information_services,match,nonmatch,nonmatch,nonmatch,nonmatch,False,False,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges. Vicinagearth. 2024.",Multi-agent systems: A survey,19.197
TM078,Q137,digital_humanities,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"A multimodal turn in Digital Humanities. Using contrastive machine learning models to explore, enrich, and analyze digital visual historical collections. Digital Scholarship in the Humanities. 2023.",Visualization and the Digital Humanities:,30.006999999999998
TM079,Q249,climate_policy_research,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review. Environmental Evidence. 2021.",How to Do Evidence Synthesis,19.052
TM080,Q249,climate_policy_research,match,match,match,match,match,True,True,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Open synthesis and the coronavirus pandemic in 2020,14.003
TM081,Q88,multi_agent_information_services,match,match,match,nonmatch,match,True,True,A Quality-Oriented Digital Twin Modelling Method for Manufacturing Processes Based on A Multi-Agent Architecture. Procedia Manufacturing. 2020.,A Quality-Oriented Digital Twin Modelling Method for Manufacturing Processes Based on A Multi-Agent Architecture,29.284
TM082,Q51,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,26.29
TM083,Q198,biomedical_evidence_synthesis,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,How is Real World Evidence taught in Nursing? A Systematic review undertaking a narrative synthesis of the literature (Preprint). CrossRef. 2023.,Evidence Synthesis Methods,19.576
TM084,Q181,biomedical_evidence_synthesis,match,match,match,nonmatch,match,True,True,"Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis.. Health technology assessment (Winchester, England). 2024.",Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis.,24.262999999999998
TM085,Q183,biomedical_evidence_synthesis,match,match,match,match,match,True,True,British Association of Dermatologists guidelines for the management of people with cutaneous squamous cell carcinoma 2020*. British Journal of Dermatology. 2020.,British Association of Dermatologists guidelines for the management of people with cutaneous squamous cell carcinoma 2020*,24.228
TM086,Q208,climate_policy_research,match,match,match,nonmatch,match,True,True,The (Co)Benefits Portal—an evidence-based and climate policy-relevant tool for decision-making. Environmental Research Letters. 2025.,The (Co)Benefits Portal—an evidence-based and climate policy-relevant tool for decision-making,19.018
TM087,Q186,biomedical_evidence_synthesis,match,match,match,match,match,True,True,"Semi-supervised learning from small annotated data and large unlabeled data for fine-grained Participants, Intervention, Comparison, and Outcomes entity recognition. 万方数据. 2025.","Semi-supervised learning from small annotated data and large unlabeled data for fine-grained Participants, Intervention, Comparison, and Outcomes entity recognition",21.064999999999998
TM088,Q45,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Reviewer #2 (Public review): Agent-based modeling reveals how bats navigate dense group emergences. CrossRef. 2026.,Code Review Agent Benchmark,17.25
TM089,Q16,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.",Ethics and Floods: A Systematic Review.,20.910000000000004
TM090,Q189,biomedical_evidence_synthesis,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Biomedical reasoning in action: Multi-agent System for Auditable Biomedical Evidence Synthesis. arXiv Preprint. 2025.,Evidence Synthesis Methods,23.113999999999997
TM091,Q73,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,What factors contribute to the acceptance of artificial intelligence? A systematic review. Telematics and Informatics. 2022.,Artificial intelligence and neuroscience: A systematic review,18.452
TM092,Q128,digital_humanities,match,match,match,match,match,True,True,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis. CrossRef. 2025.,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis,18.56
TM093,Q201,biomedical_evidence_synthesis,match,match,match,match,match,True,True,Effects of mosquito control using the microbial agent Bacillus thuringiensis israelensis (Bti) on aquatic and terrestrial ecosystems: a systematic review. Environmental Evidence. 2023.,Effects of mosquito control using the microbial agent Bacillus thuringiensis israelensis (Bti) on aquatic and terrestrial ecosystems: a systematic review,14.544
TM094,Q12,multi_agent_information_services,match,match,match,match,match,True,True,Storytelling as a Research Tool Used to Explore Insights and as an Intervention in Public Health: A Systematic Narrative Review. International Journal of Public Health. 2021.,Storytelling as a Research Tool Used to Explore Insights and as an Intervention in Public Health: A Systematic Narrative Review,15.972999999999999
TM095,Q194,biomedical_evidence_synthesis,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Artificial intelligence in headache medicine: between automation and the doctor-patient relationship. A systematic review. The Journal of Headache and Pain. 2025.,Artificial intelligence and neuroscience: A systematic review,20.614
TM096,Q107,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The agentic economy,18.566000000000003
TM097,Q139,digital_humanities,match,match,match,match,match,True,True,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis. CrossRef. 2025.,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis,13.905000000000001
TM098,Q67,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,AI-based chatbots in customer service and their effects on user compliance. Electronic Markets. 2020.,Agentic AI for Customer Service and Contact Center Solutions,21.389
TM099,Q76,multi_agent_information_services,match,match,match,match,match,True,True,"AI or Human? An Analysis of University Students' Awareness of Reference Services Agent. D Wang, J Guo, K Zheng - International Conference on Asian Digital …, 2024 - Springer. 2024.",AI or Human? An Analysis of University Students' Awareness of Reference Services Agent,12.988999999999999
TM100,Q104,multi_agent_information_services,match,match,match,nonmatch,nonmatch,True,False,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,32.400999999999996
