qid,citation_precision,bibliography_match_rate,orphan_rate,text_orphans,uncited_bibliography_entries,release,reasons,elapsed_seconds,path
Q42,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,12.306,data\expanded_outputs\schema_single_agent_v1\Q42_schema_single_agent_20260724_022821.md
Q43,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,17.152,data\expanded_outputs\schema_single_agent_v1\Q43_schema_single_agent_20260724_022829.md
Q44,1.0,1.0,0.0,0,0,pass,,13.854,data\expanded_outputs\schema_single_agent_v1\Q44_schema_single_agent_20260724_022830.md
Q45,1.0,1.0,0.0,0,0,pass,,14.645,data\expanded_outputs\schema_single_agent_v1\Q45_schema_single_agent_20260724_022831.md
Q46,1.0,1.0,0.0,0,0,pass,,15.057,data\expanded_outputs\schema_single_agent_v1\Q46_schema_single_agent_20260724_022832.md
Q47,1.0,1.0,0.0,0,0,pass,,22.449,data\expanded_outputs\schema_single_agent_v1\Q47_schema_single_agent_20260724_022844.md
Q48,1.0,1.0,0.0,0,0,pass,,12.324,data\expanded_outputs\schema_single_agent_v1\Q48_schema_single_agent_20260724_022826.md
Q49,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,30.018,data\expanded_outputs\schema_single_agent_v1\Q49_schema_single_agent_20260724_022859.md
Q50,1.0,1.0,0.0,0,0,pass,,27.022,data\expanded_outputs\schema_single_agent_v1\Q50_schema_single_agent_20260724_022857.md
Q51,1.0,1.0,0.0,0,0,pass,,22.951,data\expanded_outputs\schema_single_agent_v1\Q51_schema_single_agent_20260724_022854.md
Q52,1.0,1.0,0.0,0,0,pass,,23.597,data\expanded_outputs\schema_single_agent_v1\Q52_schema_single_agent_20260724_022855.md
Q53,1.0,1.0,0.0,0,0,pass,,18.885,data\expanded_outputs\schema_single_agent_v1\Q53_schema_single_agent_20260724_022903.md
Q54,1.0,1.0,0.0,0,0,pass,,13.26,data\expanded_outputs\schema_single_agent_v1\Q54_schema_single_agent_20260724_022907.md
Q55,1.0,1.0,0.0,0,0,pass,,12.2,data\expanded_outputs\schema_single_agent_v1\Q55_schema_single_agent_20260724_022907.md
Q56,1.0,1.0,0.0,0,0,pass,,15.01,data\expanded_outputs\schema_single_agent_v1\Q56_schema_single_agent_20260724_022912.md
Q57,1.0,1.0,0.375,0,3,block,uncited_bibliography_entry,20.027,data\expanded_outputs\schema_single_agent_v1\Q57_schema_single_agent_20260724_022919.md
Q58,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,16.54,data\expanded_outputs\schema_single_agent_v1\Q58_schema_single_agent_20260724_022919.md
Q59,1.0,1.0,0.0,0,0,pass,,12.042,data\expanded_outputs\schema_single_agent_v1\Q59_schema_single_agent_20260724_022919.md
Q60,1.0,1.0,0.0,0,0,pass,,13.228,data\expanded_outputs\schema_single_agent_v1\Q60_schema_single_agent_20260724_022921.md
Q61,1.0,1.0,0.0,0,0,pass,,17.697,data\expanded_outputs\schema_single_agent_v1\Q61_schema_single_agent_20260724_022930.md
Q62,1.0,1.0,0.0,0,0,pass,,11.767,data\expanded_outputs\schema_single_agent_v1\Q62_schema_single_agent_20260724_022917.md
Q63,1.0,1.0,0.0,0,0,pass,,15.53,data\expanded_outputs\schema_single_agent_v1\Q63_schema_single_agent_20260724_022935.md
Q64,1.0,1.0,0.375,0,3,block,uncited_bibliography_entry,12.457,data\expanded_outputs\schema_single_agent_v1\Q64_schema_single_agent_20260724_022932.md
Q65,1.0,1.0,0.0,0,0,pass,,16.156,data\expanded_outputs\schema_single_agent_v1\Q65_schema_single_agent_20260724_022936.md
Q66,1.0,1.0,0.0,0,0,pass,,16.217,data\expanded_outputs\schema_single_agent_v1\Q66_schema_single_agent_20260724_022937.md
Q67,1.0,1.0,0.0,0,0,pass,,17.609,data\expanded_outputs\schema_single_agent_v1\Q67_schema_single_agent_20260724_022947.md
Q68,1.0,1.0,0.0,0,0,pass,,16.162,data\expanded_outputs\schema_single_agent_v1\Q68_schema_single_agent_20260724_022948.md
Q69,1.0,1.0,0.0,0,0,pass,,16.682,data\expanded_outputs\schema_single_agent_v1\Q69_schema_single_agent_20260724_022951.md
Q70,1.0,1.0,0.0,0,0,pass,,13.091,data\expanded_outputs\schema_single_agent_v1\Q70_schema_single_agent_20260724_022949.md
Q71,1.0,1.0,0.0,0,0,pass,,18.151,data\expanded_outputs\schema_single_agent_v1\Q71_schema_single_agent_20260724_022955.md
Q72,1.0,1.0,0.0,0,0,pass,,11.107,data\expanded_outputs\schema_single_agent_v1\Q72_schema_single_agent_20260724_022958.md
Q73,1.0,1.0,0.0,0,0,pass,,13.917,data\expanded_outputs\schema_single_agent_v1\Q73_schema_single_agent_20260724_023002.md
Q74,1.0,1.0,0.0,0,0,pass,,16.64,data\expanded_outputs\schema_single_agent_v1\Q74_schema_single_agent_20260724_023005.md
Q75,1.0,1.0,0.0,0,0,pass,,21.355,data\expanded_outputs\schema_single_agent_v1\Q75_schema_single_agent_20260724_023013.md
Q76,1.0,1.0,0.0,0,0,pass,,20.909,data\expanded_outputs\schema_single_agent_v1\Q76_schema_single_agent_20260724_023016.md
Q77,1.0,1.0,0.0,0,0,pass,,18.17,data\expanded_outputs\schema_single_agent_v1\Q77_schema_single_agent_20260724_023016.md
Q78,1.0,1.0,0.0,0,0,pass,,25.777,data\expanded_outputs\schema_single_agent_v1\Q78_schema_single_agent_20260724_023028.md
Q79,1.0,1.0,0.0,0,0,pass,,23.202,data\expanded_outputs\schema_single_agent_v1\Q79_schema_single_agent_20260724_023029.md
Q80,1.0,1.0,0.0,0,0,pass,,24.362,data\expanded_outputs\schema_single_agent_v1\Q80_schema_single_agent_20260724_023037.md
Q81,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,23.021,data\expanded_outputs\schema_single_agent_v1\Q81_schema_single_agent_20260724_023039.md
Q82,1.0,1.0,0.0,0,0,pass,,23.041,data\expanded_outputs\schema_single_agent_v1\Q82_schema_single_agent_20260724_023039.md
Q83,1.0,1.0,0.0,0,0,pass,,32.121,data\expanded_outputs\schema_single_agent_v1\Q83_schema_single_agent_20260724_023100.md
Q84,1.0,1.0,0.0,0,0,pass,,32.818,data\expanded_outputs\schema_single_agent_v1\Q84_schema_single_agent_20260724_023101.md
Q85,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,22.415,data\expanded_outputs\schema_single_agent_v1\Q85_schema_single_agent_20260724_023100.md
Q86,1.0,1.0,0.0,0,0,pass,,20.385,data\expanded_outputs\schema_single_agent_v1\Q86_schema_single_agent_20260724_023059.md
Q87,1.0,1.0,0.0,0,0,pass,,16.684,data\expanded_outputs\schema_single_agent_v1\Q87_schema_single_agent_20260724_023056.md
Q88,1.0,1.0,0.0,0,0,pass,,19.129,data\expanded_outputs\schema_single_agent_v1\Q88_schema_single_agent_20260724_023055.md
Q89,1.0,1.0,0.0,0,0,pass,,18.877,data\expanded_outputs\schema_single_agent_v1\Q89_schema_single_agent_20260724_023054.md
Q90,1.0,1.0,0.5,0,4,block,uncited_bibliography_entry,14.62,data\expanded_outputs\schema_single_agent_v1\Q90_schema_single_agent_20260724_023054.md
Q91,1.0,1.0,0.0,0,0,pass,,16.187,data\expanded_outputs\schema_single_agent_v1\Q91_schema_single_agent_20260724_023056.md
Q92,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,11.593,data\expanded_outputs\schema_single_agent_v1\Q92_schema_single_agent_20260724_023108.md
Q93,1.0,1.0,0.0,0,0,pass,,17.357,data\expanded_outputs\schema_single_agent_v1\Q93_schema_single_agent_20260724_023117.md
Q94,1.0,1.0,0.0,0,0,pass,,20.804,data\expanded_outputs\schema_single_agent_v1\Q94_schema_single_agent_20260724_023120.md
Q95,1.0,1.0,0.0,0,0,pass,,14.043,data\expanded_outputs\schema_single_agent_v1\Q95_schema_single_agent_20260724_023114.md
Q96,1.0,1.0,0.0,0,0,pass,,17.103,data\expanded_outputs\schema_single_agent_v1\Q96_schema_single_agent_20260724_023118.md
Q97,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,18.279,data\expanded_outputs\schema_single_agent_v1\Q97_schema_single_agent_20260724_023126.md
Q98,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,29.419,data\expanded_outputs\schema_single_agent_v1\Q98_schema_single_agent_20260724_023143.md
Q99,1.0,1.0,0.0,0,0,pass,,26.699,data\expanded_outputs\schema_single_agent_v1\Q99_schema_single_agent_20260724_023143.md
Q100,1.0,1.0,0.0,0,0,pass,,17.843,data\expanded_outputs\schema_single_agent_v1\Q100_schema_single_agent_20260724_023133.md
Q101,1.0,1.0,0.0,0,0,pass,,27.925,data\expanded_outputs\schema_single_agent_v1\Q101_schema_single_agent_20260724_023148.md
Q102,1.0,1.0,0.0,0,0,pass,,27.704,data\expanded_outputs\schema_single_agent_v1\Q102_schema_single_agent_20260724_023154.md
Q103,1.0,1.0,0.0,0,0,pass,,26.23,data\expanded_outputs\schema_single_agent_v1\Q103_schema_single_agent_20260724_023159.md
Q104,1.0,1.0,0.0,0,0,pass,,18.749,data\expanded_outputs\schema_single_agent_v1\Q104_schema_single_agent_20260724_023202.md
Q105,1.0,1.0,0.625,0,5,block,uncited_bibliography_entry,18.462,data\expanded_outputs\schema_single_agent_v1\Q105_schema_single_agent_20260724_023202.md
Q106,1.0,1.0,0.0,0,0,pass,,15.515,data\expanded_outputs\schema_single_agent_v1\Q106_schema_single_agent_20260724_023204.md
Q107,1.0,1.0,0.0,0,0,pass,,13.814,data\expanded_outputs\schema_single_agent_v1\Q107_schema_single_agent_20260724_023208.md
Q108,1.0,1.0,0.0,0,0,pass,,18.343,data\expanded_outputs\schema_single_agent_v1\Q108_schema_single_agent_20260724_023217.md
Q109,1.0,1.0,0.0,0,0,pass,,18.447,data\expanded_outputs\schema_single_agent_v1\Q109_schema_single_agent_20260724_023220.md
Q110,1.0,1.0,0.0,0,0,pass,,16.751,data\expanded_outputs\schema_single_agent_v1\Q110_schema_single_agent_20260724_023219.md
Q111,1.0,1.0,0.0,0,0,pass,,24.837,data\expanded_outputs\schema_single_agent_v1\Q111_schema_single_agent_20260724_023227.md
Q112,1.0,1.0,0.0,0,0,pass,,17.988,data\expanded_outputs\schema_single_agent_v1\Q112_schema_single_agent_20260724_023226.md
Q113,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,21.757,data\expanded_outputs\schema_single_agent_v1\Q113_schema_single_agent_20260724_023231.md
Q114,1.0,1.0,0.0,0,0,pass,,22.859,data\expanded_outputs\schema_single_agent_v1\Q114_schema_single_agent_20260724_023232.md
Q115,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,12.499,data\expanded_outputs\schema_single_agent_v1\Q115_schema_single_agent_20260724_023228.md
Q116,1.0,1.0,0.0,0,0,pass,,21.806,data\expanded_outputs\schema_single_agent_v1\Q116_schema_single_agent_20260724_023244.md
Q117,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,17.194,data\expanded_outputs\schema_single_agent_v1\Q117_schema_single_agent_20260724_023244.md
Q118,1.0,1.0,0.375,0,3,block,uncited_bibliography_entry,19.143,data\expanded_outputs\schema_single_agent_v1\Q118_schema_single_agent_20260724_023247.md
Q119,1.0,1.0,0.0,0,0,pass,,21.808,data\expanded_outputs\schema_single_agent_v1\Q119_schema_single_agent_20260724_023253.md
Q120,1.0,1.0,0.0,0,0,pass,,22.049,data\expanded_outputs\schema_single_agent_v1\Q120_schema_single_agent_20260724_023254.md
Q121,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,20.506,data\expanded_outputs\schema_single_agent_v1\Q121_schema_single_agent_20260724_023304.md
Q122,1.0,1.0,0.0,0,0,pass,,18.472,data\expanded_outputs\schema_single_agent_v1\Q122_schema_single_agent_20260724_023302.md
Q123,1.0,1.0,0.0,0,0,pass,,25.317,data\expanded_outputs\schema_single_agent_v1\Q123_schema_single_agent_20260724_023312.md
Q124,1.0,1.0,0.0,0,0,pass,,17.593,data\expanded_outputs\schema_single_agent_v1\Q124_schema_single_agent_20260724_023311.md
Q125,1.0,1.0,0.0,0,0,pass,,16.464,data\expanded_outputs\schema_single_agent_v1\Q125_schema_single_agent_20260724_023311.md
Q126,1.0,1.0,0.0,0,0,pass,,19.831,data\expanded_outputs\schema_single_agent_v1\Q126_schema_single_agent_20260724_023322.md
Q127,1.0,1.0,0.0,0,0,pass,,18.415,data\expanded_outputs\schema_single_agent_v1\Q127_schema_single_agent_20260724_023323.md
Q128,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,17.23,data\expanded_outputs\schema_single_agent_v1\Q128_schema_single_agent_20260724_023328.md
Q129,1.0,1.0,0.0,0,0,pass,,17.62,data\expanded_outputs\schema_single_agent_v1\Q129_schema_single_agent_20260724_023328.md
Q130,1.0,1.0,0.0,0,0,pass,,19.121,data\expanded_outputs\schema_single_agent_v1\Q130_schema_single_agent_20260724_023331.md
Q131,1.0,1.0,0.0,0,0,pass,,20.135,data\expanded_outputs\schema_single_agent_v1\Q131_schema_single_agent_20260724_023342.md
Q132,1.0,1.0,0.0,0,0,pass,,17.264,data\expanded_outputs\schema_single_agent_v1\Q132_schema_single_agent_20260724_023340.md
Q133,1.0,1.0,0.0,0,0,pass,,29.13,data\expanded_outputs\schema_single_agent_v1\Q133_schema_single_agent_20260724_024146.md
Q134,1.0,1.0,0.0,0,0,pass,,23.371,data\expanded_outputs\schema_single_agent_v1\Q134_schema_single_agent_20260724_024140.md
Q135,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,34.158,data\expanded_outputs\schema_single_agent_v1\Q135_schema_single_agent_20260724_024151.md
Q136,1.0,1.0,0.375,0,3,block,uncited_bibliography_entry,31.112,data\expanded_outputs\schema_single_agent_v1\Q136_schema_single_agent_20260724_024148.md
Q137,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,32.137,data\expanded_outputs\schema_single_agent_v1\Q137_schema_single_agent_20260724_024149.md
Q138,1.0,1.0,0.0,0,0,pass,,37.448,data\expanded_outputs\schema_single_agent_v1\Q138_schema_single_agent_20260724_024218.md
Q139,1.0,1.0,0.0,0,0,pass,,34.362,data\expanded_outputs\schema_single_agent_v1\Q139_schema_single_agent_20260724_024220.md
Q140,1.0,1.0,0.0,0,0,pass,,29.802,data\expanded_outputs\schema_single_agent_v1\Q140_schema_single_agent_20260724_024218.md
Q141,1.0,1.0,0.0,0,0,pass,,33.405,data\expanded_outputs\schema_single_agent_v1\Q141_schema_single_agent_20260724_024222.md
Q142,1.0,1.0,0.0,0,0,pass,,27.166,data\expanded_outputs\schema_single_agent_v1\Q142_schema_single_agent_20260724_024218.md
Q143,1.0,1.0,0.0,0,0,pass,,31.615,data\expanded_outputs\schema_single_agent_v1\Q143_schema_single_agent_20260724_024249.md
Q144,1.0,1.0,0.0,0,0,pass,,30.419,data\expanded_outputs\schema_single_agent_v1\Q144_schema_single_agent_20260724_024248.md
Q145,1.0,1.0,0.0,0,0,pass,,33.491,data\expanded_outputs\schema_single_agent_v1\Q145_schema_single_agent_20260724_024252.md
Q146,1.0,1.0,0.0,0,0,pass,,27.094,data\expanded_outputs\schema_single_agent_v1\Q146_schema_single_agent_20260724_024247.md
Q147,1.0,1.0,0.0,0,0,pass,,27.216,data\expanded_outputs\schema_single_agent_v1\Q147_schema_single_agent_20260724_024250.md
Q148,1.0,1.0,0.625,0,5,block,uncited_bibliography_entry,23.916,data\expanded_outputs\schema_single_agent_v1\Q148_schema_single_agent_20260724_024311.md
Q149,1.0,1.0,0.375,0,3,block,uncited_bibliography_entry,19.665,data\expanded_outputs\schema_single_agent_v1\Q149_schema_single_agent_20260724_024308.md
Q150,1.0,1.0,0.0,0,0,pass,,21.464,data\expanded_outputs\schema_single_agent_v1\Q150_schema_single_agent_20260724_024311.md
Q151,1.0,1.0,0.0,0,0,pass,,24.065,data\expanded_outputs\schema_single_agent_v1\Q151_schema_single_agent_20260724_024314.md
Q152,1.0,1.0,0.0,0,0,pass,,28.197,data\expanded_outputs\schema_single_agent_v1\Q152_schema_single_agent_20260724_024320.md
Q153,1.0,1.0,0.0,0,0,pass,,25.531,data\expanded_outputs\schema_single_agent_v1\Q153_schema_single_agent_20260724_024333.md
Q154,1.0,1.0,0.0,0,0,pass,,16.341,data\expanded_outputs\schema_single_agent_v1\Q154_schema_single_agent_20260724_024327.md
Q155,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,21.868,data\expanded_outputs\schema_single_agent_v1\Q155_schema_single_agent_20260724_024333.md
Q156,1.0,1.0,0.0,0,0,pass,,23.88,data\expanded_outputs\schema_single_agent_v1\Q156_schema_single_agent_20260724_024337.md
Q157,1.0,1.0,0.0,0,0,pass,,19.403,data\expanded_outputs\schema_single_agent_v1\Q157_schema_single_agent_20260724_024339.md
Q158,1.0,1.0,0.0,0,0,pass,,19.573,data\expanded_outputs\schema_single_agent_v1\Q158_schema_single_agent_20260724_024347.md
Q159,1.0,1.0,0.0,0,0,pass,,24.821,data\expanded_outputs\schema_single_agent_v1\Q159_schema_single_agent_20260724_024358.md
Q160,1.0,1.0,0.0,0,0,pass,,29.315,data\expanded_outputs\schema_single_agent_v1\Q160_schema_single_agent_20260724_024403.md
Q161,1.0,1.0,0.0,0,0,pass,,24.131,data\expanded_outputs\schema_single_agent_v1\Q161_schema_single_agent_20260724_024402.md
Q162,1.0,1.0,0.0,0,0,pass,,19.054,data\expanded_outputs\schema_single_agent_v1\Q162_schema_single_agent_20260724_024358.md
Q163,1.0,1.0,0.0,0,0,pass,,17.764,data\expanded_outputs\schema_single_agent_v1\Q163_schema_single_agent_20260724_024404.md
Q164,1.0,1.0,0.0,0,0,pass,,18.895,data\expanded_outputs\schema_single_agent_v1\Q164_schema_single_agent_20260724_024417.md
Q165,1.0,1.0,0.5,0,4,block,uncited_bibliography_entry,21.064,data\expanded_outputs\schema_single_agent_v1\Q165_schema_single_agent_20260724_024419.md
Q166,1.0,1.0,0.0,0,0,pass,,22.491,data\expanded_outputs\schema_single_agent_v1\Q166_schema_single_agent_20260724_024424.md
Q167,1.0,1.0,0.0,0,0,pass,,20.339,data\expanded_outputs\schema_single_agent_v1\Q167_schema_single_agent_20260724_024423.md
Q168,1.0,1.0,0.0,0,0,pass,,13.798,data\expanded_outputs\schema_single_agent_v1\Q168_schema_single_agent_20260724_024418.md
Q169,1.0,1.0,0.0,0,0,pass,,22.559,data\expanded_outputs\schema_single_agent_v1\Q169_schema_single_agent_20260724_024439.md
Q170,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,12.181,data\expanded_outputs\schema_single_agent_v1\Q170_schema_single_agent_20260724_024430.md
Q171,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,15.33,data\expanded_outputs\schema_single_agent_v1\Q171_schema_single_agent_20260724_024435.md
Q172,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,12.189,data\expanded_outputs\schema_single_agent_v1\Q172_schema_single_agent_20260724_024435.md
Q173,1.0,1.0,0.0,0,0,pass,,16.868,data\expanded_outputs\schema_single_agent_v1\Q173_schema_single_agent_20260724_024441.md
Q174,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,20.424,data\expanded_outputs\schema_single_agent_v1\Q174_schema_single_agent_20260724_025046.md
Q175,1.0,1.0,0.0,0,0,pass,,13.003,data\expanded_outputs\schema_single_agent_v1\Q175_schema_single_agent_20260724_024445.md
Q176,1.0,1.0,0.0,0,0,pass,,18.231,data\expanded_outputs\schema_single_agent_v1\Q176_schema_single_agent_20260724_024453.md
Q177,1.0,1.0,0.0,0,0,pass,,14.24,data\expanded_outputs\schema_single_agent_v1\Q177_schema_single_agent_20260724_024449.md
Q178,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,15.564,data\expanded_outputs\schema_single_agent_v1\Q178_schema_single_agent_20260724_024455.md
Q179,1.0,1.0,0.0,0,0,pass,,24.089,data\expanded_outputs\schema_single_agent_v1\Q179_schema_single_agent_20260724_024505.md
Q180,1.0,1.0,0.0,0,0,pass,,16.445,data\expanded_outputs\schema_single_agent_v1\Q180_schema_single_agent_20260724_024501.md
Q181,1.0,1.0,0.0,0,0,pass,,17.718,data\expanded_outputs\schema_single_agent_v1\Q181_schema_single_agent_20260724_024507.md
Q182,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,19.649,data\expanded_outputs\schema_single_agent_v1\Q182_schema_single_agent_20260724_024513.md
Q183,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,20.466,data\expanded_outputs\schema_single_agent_v1\Q183_schema_single_agent_20260724_024515.md
Q184,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,19.586,data\expanded_outputs\schema_single_agent_v1\Q184_schema_single_agent_20260724_024521.md
Q185,1.0,1.0,0.0,0,0,pass,,17.787,data\expanded_outputs\schema_single_agent_v1\Q185_schema_single_agent_20260724_024523.md
Q186,1.0,1.0,0.0,0,0,pass,,14.227,data\expanded_outputs\schema_single_agent_v1\Q186_schema_single_agent_20260724_024521.md
Q187,1.0,1.0,0.0,0,0,pass,,14.146,data\expanded_outputs\schema_single_agent_v1\Q187_schema_single_agent_20260724_024527.md
Q188,1.0,1.0,0.0,0,0,pass,,14.067,data\expanded_outputs\schema_single_agent_v1\Q188_schema_single_agent_20260724_024530.md
Q189,1.0,1.0,0.0,0,0,pass,,14.796,data\expanded_outputs\schema_single_agent_v1\Q189_schema_single_agent_20260724_024536.md
Q190,1.0,1.0,0.0,0,0,pass,,22.412,data\expanded_outputs\schema_single_agent_v1\Q190_schema_single_agent_20260724_024544.md
Q191,1.0,1.0,0.0,0,0,pass,,19.396,data\expanded_outputs\schema_single_agent_v1\Q191_schema_single_agent_20260724_024542.md
