normalised_key,reference,title_guess,occurrences,configs,status,matched_source,matched_title,identifier,similarity,errors
real world evidence of the clinical and economic impact of long acting injectable versus oral antipsychotics among patients with schizophrenia in the united states a systematic review and meta analysis cns drugs 2021,Real-World Evidence of the Clinical and Economic Impact of Long-Acting Injectable Versus Oral Antipsychotics Among Patients with Schizophrenia in the United States: A Systematic Review and Meta-Analysis.. CNS drugs. 2021.,Real-World Evidence of the Clinical and Economic Impact of Long-Acting Injectable Versus Oral Antipsychotics Among Patients with Schizophrenia in the United States: A Systematic Review and Meta-Analysis.,7,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Real-World Evidence of the Clinical and Economic Impact of Long-Acting Injectable Versus Oral Antipsychotics Among Patients with Schizophrenia in the United States: A Systematic Review and Meta-Analysis,10.1007/s40263-021-00815-y,1.0,
reported evidence of greenness co benefits on health climate change mitigation and adaptation a systematic review of the literature environmental research climate 2022,"Reported evidence of greenness co-benefits on health, climate change mitigation, and adaptation: a systematic review of the literature. Environmental Research: Climate. 2022.","Reported evidence of greenness co-benefits on health, climate change mitigation, and adaptation: a systematic review of the literature",7,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"Reported evidence of greenness co-benefits on health, climate change mitigation, and adaptation: a systematic review of the literature",10.1088/2752-5295/ac4da2,1.0,
the role of agentic ai and generative ai in transforming modern banking services a todupunuri american journal of ai cyber computing management 2025 ajaccm com 2025,"The Role Of Agentic Ai And Generative Ai In Transforming Modern Banking Services. A Todupunuri - American Journal of AI Cyber Computing Management, 2025 - ajaccm.com. 2025.",The Role Of Agentic Ai And Generative Ai In Transforming Modern Banking Services,7,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,THE ROLE OF AGENTIC AI AND GENERATIVE AI IN TRANSFORMING MODERN BANKING SERVICES,10.64751/ajaccm.2025.v5.n3.pp85-93,1.0,
using large language models to detect depression from user generated diary text data as a novel approach in digital mental health screening instrument validation study journal of medical internet research 2024,Using Large Language Models to Detect Depression From User-Generated Diary Text Data as a Novel Approach in Digital Mental Health Screening: Instrument Validation Study. Journal of medical Internet research. 2024.,Using Large Language Models to Detect Depression From User-Generated Diary Text Data as a Novel Approach in Digital Mental Health Screening: Instrument Validation Study,7,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Using Large Language Models to Detect Depression From User-Generated Diary Text Data as a Novel Approach in Digital Mental Health Screening: Instrument Validation Study,10.2196/54617,1.0,
what if germany had invested in nuclear power a comparison between the german energy policy the last 20 years and an alternative policy of investing in nuclear power international journal of sustainable energy 2024,What if Germany had invested in nuclear power? A comparison between the German energy policy the last 20 years and an alternative policy of investing in nuclear power. International Journal of Sustainable Energy. 2024.,What if Germany had invested in nuclear power? A comparison between the German energy policy the last 20 years and an alternative policy of investing in nuclear power,7,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,What if Germany had invested in nuclear power? A comparison between the German energy policy the last 20 years and an alternative policy of investing in nuclear power,10.1080/14786451.2024.2355642,1.0,
a knowledge driven approach to dynamic path planning fuzzy a based method for scalable multi agent systems international conference on artificial intelligence and knowledge engineering 2023,A Knowledge-Driven Approach to Dynamic Path Planning: Fuzzy A*-Based Method for Scalable Multi-Agent Systems. International Conference on Artificial Intelligence and Knowledge Engineering. 2023.,A Knowledge-Driven Approach to Dynamic Path Planning: Fuzzy A*-Based Method for Scalable Multi-Agent Systems,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,A Knowledge-Driven Approach to Dynamic Path Planning: Fuzzy A*-Based Method for Scalable Multi-Agent Systems,10.1109/aike59827.2023.00019,1.0,
ai based chatbots in customer service and their effects on user compliance electronic markets 2020,AI-based chatbots in customer service and their effects on user compliance. Electronic Markets. 2020.,AI-based chatbots in customer service and their effects on user compliance,6,M1|M2a|M2c,verified_genuine_but_unretrieved,Crossref,AI-based chatbots in customer service and their effects on user compliance,10.1007/s12525-020-00414-7,1.0,
assessing the environmental and socioeconomic impacts of mangrove loss in indonesia a synthesis for science based policy forest science and technology 2025,Assessing the Environmental and Socioeconomic Impacts of Mangrove Loss in Indonesia: A Synthesis for Science-Based Policy. Forest Science and Technology. 2025.,Assessing the Environmental and Socioeconomic Impacts of Mangrove Loss in Indonesia: A Synthesis for Science-Based Policy,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Assessing the Environmental and Socioeconomic Impacts of Mangrove Loss in Indonesia: A Synthesis for Science-Based Policy,10.1080/21580103.2025.2536595,1.0,
british association of dermatologists guidelines for the management of people with cutaneous squamous cell carcinoma 2020 british journal of dermatology 2020,British Association of Dermatologists guidelines for the management of people with cutaneous squamous cell carcinoma 2020*. British Journal of Dermatology. 2020.,British Association of Dermatologists guidelines for the management of people with cutaneous squamous cell carcinoma 2020*,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,British Association of Dermatologists guidelines for the management of people with cutaneous squamous cell carcinoma 2020*,10.1111/bjd.19621,1.0,
building a secure agentic ai application leveraging a2a protocol i habler k huang vs narajala p kulkarni arxiv preprint arxiv 2025 arxiv org 2025,"Building a secure agentic AI application leveraging A2A protocol. I Habler, K Huang, VS Narajala, P Kulkarni - arXiv preprint arXiv …, 2025 - arxiv.org. 2025.",Building a secure agentic AI application leveraging A2A protocol,6,M1|M2a|M2b,verified_genuine_but_unretrieved,Crossref,Building A Secure Agentic AI Application Leveraging Google’s A2A Protocol,10.1109/acsacw69556.2025.00043,1.0,
eight problems with literature reviews and how to fix them nature ecology evolution 2020,Eight problems with literature reviews and how to fix them.. Nature ecology & evolution. 2020.,Eight problems with literature reviews and how to fix them.,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Eight problems with literature reviews and how to fix them,10.1038/s41559-020-01295-x,1.0,
institutional barriers to sea level rise adaptation in australia s coastal towns a systematic review of academic literature wires climate change 2026,Institutional Barriers to Sea Level Rise Adaptation in Australia's Coastal Towns: A Systematic Review of Academic Literature. WIREs Climate Change. 2026.,Institutional Barriers to Sea Level Rise Adaptation in Australia's Coastal Towns: A Systematic Review of Academic Literature,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Institutional Barriers to Sea Level Rise Adaptation in Australia's Coastal Towns: A Systematic Review of Academic Literature,10.1002/wcc.70053,1.0,
jir arena the first benchmark dataset for just in time information recommendation arxiv org 2025,JIR-Arena: The First Benchmark Dataset for Just-in-time Information Recommendation. arXiv.org. 2025.,JIR-Arena: The First Benchmark Dataset for Just-in-time Information Recommendation,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,OpenAlex,JIR-Arena: The First Benchmark Dataset for Just-in-time Information Recommendation,https://doi.org/10.48550/arxiv.2505.13550,1.0,
multi agent ai systems in healthcare systematic evidence synthesis via prisma of clinical decision support systems robotic interventions and critical care international journal of latest technology in engineering management applied science 2025,"Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care. International Journal of Latest Technology in Engineering Management & Applied Science. 2025.","Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care",6,M1|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care",10.51583/ijltemas.2025.140500080,1.0,
nature based solutions for urban climate change adaptation linking science policy and practice communities for evidence based decision making bioscience 2019,"Nature-Based Solutions for Urban Climate Change Adaptation: Linking Science, Policy, and Practice Communities for Evidence-Based Decision-Making. BioScience. 2019.","Nature-Based Solutions for Urban Climate Change Adaptation: Linking Science, Policy, and Practice Communities for Evidence-Based Decision-Making",6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"Nature-Based Solutions for Urban Climate Change Adaptation: Linking Science, Policy, and Practice Communities for Evidence-Based Decision-Making",10.1093/biosci/biz042,1.0,
oncocite multimodal multi agent reconstruction of clinical oncology knowledge bases from scientific literature crossref 2026,OncoCITE: Multimodal Multi-Agent Reconstruction of Clinical Oncology Knowledge Bases from Scientific Literature. CrossRef. 2026.,OncoCITE: Multimodal Multi-Agent Reconstruction of Clinical Oncology Knowledge Bases from Scientific Literature,6,M1|M2a|M2b,verified_genuine_but_unretrieved,Crossref,OncoCITE: Multimodal Multi-Agent Reconstruction of Clinical Oncology Knowledge Bases from Scientific Literature,10.21203/rs.3.rs-9160944/v1,1.0,
single agent llms outperform multi agent systems on multi hop reasoning under equal thinking token budgets arxiv preprint 2026,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets. arXiv Preprint. 2026.,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets,6,M1|M2a|M2b,verified_genuine_but_unretrieved,OpenAlex,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets,https://openalex.org/W7151673567,1.0,
strategies used for childhood chronic functional constipation the success evidence synthesis health technology assessment winchester england 2024,"Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis.. Health technology assessment (Winchester, England). 2024.",Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis.,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis,10.3310/pltr9622,1.0,
systematic failures in collective reasoning under distributed information in multi agent llms arxiv preprint 2025,Systematic Failures in Collective Reasoning under Distributed Information in Multi-Agent LLMs. arXiv Preprint. 2025.,Systematic Failures in Collective Reasoning under Distributed Information in Multi-Agent LLMs,6,M1|M2a|M2b|M2c,unresolved_external,Crossref,Can Reasoning LLMs Eliminate Conformity in Multi-Agent Systems?,10.1109/icdmw69685.2025.00406,0.5555555555555556,
the potential application of large language models in pharmaceutical supply chain management the journal of pediatric pharmacology and therapeutics 2024,The Potential Application of Large Language Models in Pharmaceutical Supply Chain Management. The Journal of Pediatric Pharmacology and Therapeutics. 2024.,The Potential Application of Large Language Models in Pharmaceutical Supply Chain Management,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,The Potential Application of Large Language Models in Pharmaceutical Supply Chain Management,10.5863/1551-6776-29.2.200,1.0,
the role of different lng ius therapies in the management of adenomyosis a systematic review and meta analysis reproductive biology and endocrinology 2025,The role of different LNG-IUS therapies in the management of adenomyosis: a systematic review and meta-analysis. Reproductive Biology and Endocrinology. 2025.,The role of different LNG-IUS therapies in the management of adenomyosis: a systematic review and meta-analysis,6,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,The role of different LNG-IUS therapies in the management of adenomyosis: a systematic review and meta-analysis,10.1186/s12958-025-01349-4,1.0,
uftdrdh a novel user oriented solution for full text database retrieval in chinese digital humanities journal of information science 2022,UFTDRDH: A novel user-oriented solution for full-text database retrieval in Chinese digital humanities. Journal of Information Science. 2022.,UFTDRDH: A novel user-oriented solution for full-text database retrieval in Chinese digital humanities,6,M1|M2a|M2b,verified_genuine_but_unretrieved,Crossref,UFTDRDH: A novel user-oriented solution for full-text database retrieval in Chinese digital humanities,10.1177/01655515221133529,1.0,
a comprehensive evaluation of large language models on benchmark biomedical text processing tasks comput biol medicine 2023,A Comprehensive Evaluation of Large Language Models on Benchmark Biomedical Text Processing Tasks. Comput. Biol. Medicine. 2023.,A Comprehensive Evaluation of Large Language Models on Benchmark Biomedical Text Processing Tasks,5,M1|M2a|M2b,verified_genuine_but_unretrieved,Crossref,A comprehensive evaluation of large Language models on benchmark biomedical text processing tasks,10.1016/j.compbiomed.2024.108189,1.0,
a multi agent system enables versatile information extraction from the chemical literature arxiv preprint 2025,A Multi-Agent System Enables Versatile Information Extraction from the Chemical Literature. arXiv Preprint. 2025.,A Multi-Agent System Enables Versatile Information Extraction from the Chemical Literature,5,M1|M2a|M2b,unresolved_external,Crossref,Comprehensive information extraction from multi-dimensional observation system,10.1007/s11589-999-0028-z,0.625,
a systematic scoping review and content analysis of policy recommendations for climate resilient agriculture climate policy 2023,A systematic scoping review and content analysis of policy recommendations for climate-resilient agriculture. Climate Policy. 2023.,A systematic scoping review and content analysis of policy recommendations for climate-resilient agriculture,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,A systematic scoping review and content analysis of policy recommendations for climate-resilient agriculture,10.1080/14693062.2023.2232334,1.0,
a visualized overview of systematic reviews and meta analyses on low carbon built environments an evidence review map 万方数据 2019,A visualized overview of systematic reviews and meta-analyses on low- carbon built environments: An evidence review map. 万方数据. 2019.,A visualized overview of systematic reviews and meta-analyses on low- carbon built environments: An evidence review map,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,A visualized overview of systematic reviews and meta-analyses on low-carbon built environments: An evidence review map,10.1016/j.solener.2019.04.062,1.0,
adapting water management to climate change in the murray darling basin australia water 2021,"Adapting Water Management to Climate Change in the Murray–Darling Basin, Australia. Water. 2021.","Adapting Water Management to Climate Change in the Murray–Darling Basin, Australia",5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"Adapting Water Management to Climate Change in the Murray–Darling Basin, Australia",10.3390/w13182504,1.0,
automated evidence extraction and scoring for corporate climate policy engagement a multilingual rag approach arxiv preprint 2025,Automated Evidence Extraction and Scoring for Corporate Climate Policy Engagement: A Multilingual RAG Approach. arXiv Preprint. 2025.,Automated Evidence Extraction and Scoring for Corporate Climate Policy Engagement: A Multilingual RAG Approach,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Automated Evidence Extraction and Scoring for Corporate Climate Policy Engagement: A Multilingual RAG Approach,10.2139/ssrn.5468389,1.0,
climate change in bangladesh a synthesis of risks adaptation and policy responses international journal of business social and scientific research 2025,"CLIMATE CHANGE IN BANGLADESH: A SYNTHESIS OF RISKS, ADAPTATION, AND POLICY RESPONSES. International journal of business, social and scientific research. 2025.","CLIMATE CHANGE IN BANGLADESH: A SYNTHESIS OF RISKS, ADAPTATION, AND POLICY RESPONSES",5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"CLIMATE CHANGE IN BANGLADESH: A SYNTHESIS OF RISKS, ADAPTATION, AND POLICY RESPONSES",10.55706/ijbssr13106,1.0,
chempaperbench a multi domain benchmark for literature grounded chemical reasoning of llm based multi agent systems 2025 ieee international conference on data mining workshops icdmw 2025,ChemPaperBench: A Multi-Domain Benchmark for Literature-Grounded Chemical Reasoning of LLM-Based Multi-Agent Systems. 2025 IEEE International Conference on Data Mining Workshops (ICDMW). 2025.,ChemPaperBench: A Multi-Domain Benchmark for Literature-Grounded Chemical Reasoning of LLM-Based Multi-Agent Systems,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,ChemPaperBench: A Multi-Domain Benchmark for Literature-Grounded Chemical Reasoning of LLM-Based Multi-Agent Systems,10.1109/icdmw69685.2025.00014,1.0,
deep research agents major breakthrough or incremental progress for medical ai journal of medical internet research 2026,Deep Research Agents: Major Breakthrough or Incremental Progress for Medical AI?. Journal of medical Internet research. 2026.,Deep Research Agents: Major Breakthrough or Incremental Progress for Medical AI?,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Deep Research Agents: Major Breakthrough or Incremental Progress for Medical AI?,10.2196/88195,1.0,
devnous an llm based multi agent system for grounding it project management in unstructured conversation arxiv preprint 2025,DevNous: An LLM-Based Multi-Agent System for Grounding IT Project Management in Unstructured Conversation. arXiv Preprint. 2025.,DevNous: An LLM-Based Multi-Agent System for Grounding IT Project Management in Unstructured Conversation,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,DevNous: An LLM-based multi-agent system for grounding IT project management in unstructured conversation,10.1016/j.infsof.2026.108078,1.0,
evidence synthesis public perceptions of hydrogen and fuel cell technologies in the european union open research europe 2025,Evidence synthesis: Public perceptions of hydrogen and fuel cell technologies in the European Union. Open Research Europe. 2025.,Evidence synthesis: Public perceptions of hydrogen and fuel cell technologies in the European Union,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Evidence synthesis: Public perceptions of hydrogen and fuel cell technologies in the European Union,10.12688/openreseurope.21213.1,1.0,
examining climate justice in urban public space adaptation a thematic synthesis of the literature journal of city climate policy and economy 2024,Examining Climate Justice in Urban Public Space Adaptation: A Thematic Synthesis of the Literature. Journal of City Climate Policy and Economy. 2024.,Examining Climate Justice in Urban Public Space Adaptation: A Thematic Synthesis of the Literature,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Examining Climate Justice in Urban Public Space Adaptation: A Thematic Synthesis of the Literature,10.3138/jccpe-2022-2015,1.0,
factreview evidence grounded reviews with literature positioning and execution based claim verification arxiv preprint arxiv 2026,FactReview: Evidence-Grounded Reviews with Literature Positioning and Execution-Based Claim Verification. arXiv preprint arXiv …. 2026.,FactReview: Evidence-Grounded Reviews with Literature Positioning and Execution-Based Claim Verification,5,M1|M2a|M2b|M2c,probable_genuine_requires_manual_check,OpenAlex,FactReview: Evidence-Grounded Peer Review with Execution-Based Claim Verification,https://openalex.org/W7152934206,0.819672131147541,
impacts of climate change on multiple use management of bureau of land management land in the intermountain west usa ecosphere 2020,"Impacts of climate change on multiple use management of Bureau of Land Management land in the Intermountain West, USA. Ecosphere. 2020.","Impacts of climate change on multiple use management of Bureau of Land Management land in the Intermountain West, USA",5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"Impacts of climate change on multiple use management of Bureau of Land Management land in the Intermountain West, USA",10.1002/ecs2.3286,1.0,
medsyn benchmarking multi evidence synthesis in complex clinical cases for multimodal large language models arxiv org 2026,MEDSYN: Benchmarking Multi-EviDence SYNthesis in Complex Clinical Cases for Multimodal Large Language Models. arXiv.org. 2026.,MEDSYN: Benchmarking Multi-EviDence SYNthesis in Complex Clinical Cases for Multimodal Large Language Models,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,MEDSYN: Benchmarking Multi-EviDence SYNthesis in Complex Clinical Cases for Multimodal Large Language Models,10.18653/v1/2026.findings-acl.1183,1.0,
multi objective workflow scheduling with deep q network based multi agent reinforcement learning ieee access 2019,Multi-Objective Workflow Scheduling With Deep-Q-Network-Based Multi-Agent Reinforcement Learning. IEEE Access. 2019.,Multi-Objective Workflow Scheduling With Deep-Q-Network-Based Multi-Agent Reinforcement Learning,5,M1|M2a|M2c,verified_genuine_but_unretrieved,Crossref,Multi-Objective Workflow Scheduling With Deep-Q-Network-Based Multi-Agent Reinforcement Learning,10.1109/access.2019.2902846,1.0,
personal touch in digital customer service a conceptual framework of relational personalization for conversational ai journal of service theory and practice 2023,Personal touch in digital customer service: a conceptual framework of relational personalization for conversational AI. Journal of Service Theory and Practice. 2023.,Personal touch in digital customer service: a conceptual framework of relational personalization for conversational AI,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Personal touch in digital customer service: a conceptual framework of relational personalization for conversational AI,10.1108/jstp-03-2023-0098,1.0,
publications of systematic review and meta analysis in the indexed anesthesia journals a 10 year bibliometric analysis frontiers in medicine 2025,Publications of systematic review and meta-analysis in the indexed anesthesia journals: a 10-year bibliometric analysis. Frontiers in Medicine. 2025.,Publications of systematic review and meta-analysis in the indexed anesthesia journals: a 10-year bibliometric analysis,5,M1|M2a|M2b,verified_genuine_but_unretrieved,Crossref,Publications of systematic review and meta-analysis in the indexed anesthesia journals: a 10-year bibliometric analysis,10.3389/fmed.2025.1523630,1.0,
scitrue evidence grounded claim verification in science proceedings of the 19th conference of 2026,SciTrue: Evidence-Grounded Claim Verification in Science. Proceedings of the 19th Conference of …. 2026.,SciTrue: Evidence-Grounded Claim Verification in Science,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,SciTrue: Evidence-Grounded Claim Verification in Science,10.18653/v1/2026.eacl-demo.27,1.0,
smallholder farmers adaptation to climate change and determinants of their adaptation decisions in the central rift valley of ethiopia agriculture food security 2017,Smallholder farmers’ adaptation to climate change and determinants of their adaptation decisions in the Central Rift Valley of Ethiopia. Agriculture & Food Security. 2017.,Smallholder farmers’ adaptation to climate change and determinants of their adaptation decisions in the Central Rift Valley of Ethiopia,5,M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Smallholder farmers’ adaptation to climate change and determinants of their adaptation decisions in the Central Rift Valley of Ethiopia,10.1186/s40066-017-0100-1,1.0,
the presence and potential impact of psychological safety in the healthcare setting an evidence synthesis bmc health services research 2021,The presence and potential impact of psychological safety in the healthcare setting: an evidence synthesis. BMC Health Services Research. 2021.,The presence and potential impact of psychological safety in the healthcare setting: an evidence synthesis,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,The presence and potential impact of psychological safety in the healthcare setting: an evidence synthesis,10.1186/s12913-021-06740-6,1.0,
the roles and unexplored potential of policy experimentation in climate adaptation governance a systematic literature review environmental policy and governance 2024,The roles and unexplored potential of policy experimentation in climate adaptation governance: A systematic literature review. Environmental Policy and Governance. 2024.,The roles and unexplored potential of policy experimentation in climate adaptation governance: A systematic literature review,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,The roles and unexplored potential of policy experimentation in climate adaptation governance: A systematic literature review,10.1002/eet.2127,1.0,
toward agentic ai networking in 6g a generative foundation model as agent approach y xiao g shi p zhang ieee communications magazine 2025 ieeexplore ieee org 2025,"Toward agentic ai networking in 6g: A generative foundation model-as-agent approach. Y Xiao, G Shi, P Zhang - IEEE Communications Magazine, 2025 - ieeexplore.ieee.org. 2025.",Toward agentic ai networking in 6g: A generative foundation model-as-agent approach,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Toward Agentic AI Networking in 6G: A Generative Foundation Model-as-Agent Approach,10.1109/mcom.001.2500005,1.0,
ultrasoundagents hierarchical multi agent evidence chain reasoning for breast ultrasound diagnosis semantic scholar 2026,UltrasoundAgents: Hierarchical Multi-Agent Evidence-Chain Reasoning for Breast Ultrasound Diagnosis. Semantic Scholar. 2026.,UltrasoundAgents: Hierarchical Multi-Agent Evidence-Chain Reasoning for Breast Ultrasound Diagnosis,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,OpenAlex,UltrasoundAgents: Hierarchical Multi-Agent Evidence-Chain Reasoning for Breast Ultrasound Diagnosis,https://openalex.org/W7135157020,1.0,
understanding the corpus of mobile payment services research an analysis of the literature using co citation analysis and social network analysis journal of information systems and technology management 2020,Understanding the Corpus of Mobile Payment Services Research: An Analysis of the Literature Using Co-Citation Analysis and Social Network Analysis. Journal of Information Systems and Technology Management. 2020.,Understanding the Corpus of Mobile Payment Services Research: An Analysis of the Literature Using Co-Citation Analysis and Social Network Analysis,5,M1|M2a|M2b,verified_genuine_but_unretrieved,Crossref,Understanding the Corpus of Mobile Payment Services Research: An Analysis of the Literature Using Co-Citation Analysis and Social Network Analysis,10.4301/s1807-1775202017002,1.0,
what is a heat wave a survey and literature synthesis of heat wave definitions across the united states plos climate 2024,What is a heat wave: A survey and literature synthesis of heat wave definitions across the United States. PLOS Climate. 2024.,What is a heat wave: A survey and literature synthesis of heat wave definitions across the United States,5,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,What is a heat wave: A survey and literature synthesis of heat wave definitions across the United States,10.1371/journal.pclm.0000468,1.0,
a benchmark expand and calibration benchexcal trial emulation approach for using real world evidence to support indication expansions design and process for a planned empirical evaluation clinical pharmacology and therapy 2025,"A Benchmark, Expand, and Calibration (BenchExCal) Trial Emulation Approach for Using Real‐World Evidence to Support Indication Expansions: Design and Process for a Planned Empirical Evaluation. Clinical pharmacology and therapy. 2025.","A Benchmark, Expand, and Calibration (BenchExCal) Trial Emulation Approach for Using Real‐World Evidence to Support Indication Expansions: Design and Process for a Planned Empirical Evaluation",4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"A Benchmark, Expand, and Calibration (<scp>BenchExCal</scp>) Trial Emulation Approach for Using Real‐World Evidence to Support Indication Expansions: Design and Process for a Planned Empirical Evaluation",10.1002/cpt.3621,1.0,
a comprehensive benchmark of tool augmented large language models for biomedical knowledge retrieval and integration ieee international conference on bioinformatics and biomedicine 2025,A Comprehensive Benchmark of Tool-Augmented Large Language Models for Biomedical Knowledge Retrieval and Integration. IEEE International Conference on Bioinformatics and Biomedicine. 2025.,A Comprehensive Benchmark of Tool-Augmented Large Language Models for Biomedical Knowledge Retrieval and Integration,4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,A Comprehensive Benchmark of Tool-Augmented Large Language Models for Biomedical Knowledge Retrieval and Integration,10.1109/bibm66473.2025.11356640,1.0,
a deep q network for the beer game deep reinforcement learning for inventory optimization manufacturing service operations management 2021,A Deep Q-Network for the Beer Game: Deep Reinforcement Learning for Inventory Optimization. Manufacturing & Service Operations Management. 2021.,A Deep Q-Network for the Beer Game: Deep Reinforcement Learning for Inventory Optimization,4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,A Deep Q-Network for the Beer Game: Deep Reinforcement Learning for Inventory Optimization,10.1287/msom.2020.0939,1.0,
a multi agent rhizomatic pipeline for non linear literature analysis arxiv preprint 2026,A Multi-Agent Rhizomatic Pipeline for Non-Linear Literature Analysis. arXiv Preprint. 2026.,A Multi-Agent Rhizomatic Pipeline for Non-Linear Literature Analysis,4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,OpenAlex,A Multi-Agent Rhizomatic Pipeline for Non-Linear Literature Analysis,https://openalex.org/W7148176017,1.0,
a research protocol for a systematic review of automatic literature screening in medical evidence synthesis crossref 2020,A Research Protocol for a Systematic Review of Automatic Literature Screening in Medical Evidence Synthesis. CrossRef. 2020.,A Research Protocol for a Systematic Review of Automatic Literature Screening in Medical Evidence Synthesis,4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,A Research Protocol for a Systematic Review of Automatic Literature Screening in Medical Evidence Synthesis,10.21203/rs.3.rs-62316/v1,1.0,
a review of multi agent ai systems for biological and clinical data analysis methods and protocols 2026,A Review of Multi-Agent AI Systems for Biological and Clinical Data Analysis.. Methods and protocols. 2026.,A Review of Multi-Agent AI Systems for Biological and Clinical Data Analysis.,4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Multi-Agent AI Systems for Biological and Clinical Data Analysis,10.20944/preprints202512.2602.v1,1.0,
a systematic review of chatgpt and other conversational large language models in healthcare medrxiv 2024,A Systematic Review of ChatGPT and Other Conversational Large Language Models in Healthcare. medRxiv. 2024.,A Systematic Review of ChatGPT and Other Conversational Large Language Models in Healthcare,4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,A Systematic Review of ChatGPT and Other Conversational Large Language Models in Healthcare,10.1101/2024.04.26.24306390,1.0,
a framework for human evaluation of large language models in healthcare derived from literature review npj digital medicine 2024,A framework for human evaluation of large language models in healthcare derived from literature review. npj Digital Medicine. 2024.,A framework for human evaluation of large language models in healthcare derived from literature review,4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,A framework for human evaluation of large language models in healthcare derived from literature review,10.1038/s41746-024-01258-7,1.0,
a review on scientific knowledge extraction using large language models in biomedical sciences arxiv preprint arxiv 2024,A review on scientific knowledge extraction using large language models in biomedical sciences. arXiv preprint arXiv …. 2024.,A review on scientific knowledge extraction using large language models in biomedical sciences,4,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Poisoning scientific knowledge using large language models,10.1101/2023.11.06.565928,0.8571428571428571,
