pair_id,query_id,domain,language_group,reference_string,candidate_evidence_title,gold_label,single_agent_label,arl_label,score
TM083,Q198,biomedical_evidence_synthesis,English/Latin,How is Real World Evidence taught in Nursing? A Systematic review undertaking a narrative synthesis of the literature (Preprint). CrossRef. 2023.,Evidence Synthesis Methods,nonmatch,nonmatch,nonmatch,0.6666666666666666
TM084,Q181,biomedical_evidence_synthesis,English/Latin,"Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis.. Health technology assessment (Winchester, England). 2024.",Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis.,match,match,match,1.0
TM085,Q183,biomedical_evidence_synthesis,English/Latin,British Association of Dermatologists guidelines for the management of people with cutaneous squamous cell carcinoma 2020*. British Journal of Dermatology. 2020.,British Association of Dermatologists guidelines for the management of people with cutaneous squamous cell carcinoma 2020*,match,match,match,1.0
TM086,Q208,climate_policy_research,English/Latin,The (Co)Benefits Portal—an evidence-based and climate policy-relevant tool for decision-making. Environmental Research Letters. 2025.,The (Co)Benefits Portal—an evidence-based and climate policy-relevant tool for decision-making,match,match,match,1.0
TM087,Q186,biomedical_evidence_synthesis,Chinese-present,"Semi-supervised learning from small annotated data and large unlabeled data for fine-grained Participants, Intervention, Comparison, and Outcomes entity recognition. 万方数据. 2025.","Semi-supervised learning from small annotated data and large unlabeled data for fine-grained Participants, Intervention, Comparison, and Outcomes entity recognition",match,match,match,1.0
TM088,Q45,multi_agent_information_services,English/Latin,Reviewer #2 (Public review): Agent-based modeling reveals how bats navigate dense group emergences. CrossRef. 2026.,Code Review Agent Benchmark,nonmatch,nonmatch,nonmatch,0.5
TM089,Q16,multi_agent_information_services,English/Latin,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.",Ethics and Floods: A Systematic Review.,nonmatch,nonmatch,nonmatch,0.6
TM090,Q189,biomedical_evidence_synthesis,English/Latin,Biomedical reasoning in action: Multi-agent System for Auditable Biomedical Evidence Synthesis. arXiv Preprint. 2025.,Evidence Synthesis Methods,nonmatch,nonmatch,nonmatch,0.6666666666666666
TM091,Q73,multi_agent_information_services,English/Latin,What factors contribute to the acceptance of artificial intelligence? A systematic review. Telematics and Informatics. 2022.,Artificial intelligence and neuroscience: A systematic review,nonmatch,nonmatch,nonmatch,0.8333333333333334
TM092,Q128,digital_humanities,English/Latin,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis. CrossRef. 2025.,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis,match,match,match,1.0
TM093,Q201,biomedical_evidence_synthesis,English/Latin,Effects of mosquito control using the microbial agent Bacillus thuringiensis israelensis (Bti) on aquatic and terrestrial ecosystems: a systematic review. Environmental Evidence. 2023.,Effects of mosquito control using the microbial agent Bacillus thuringiensis israelensis (Bti) on aquatic and terrestrial ecosystems: a systematic review,match,match,match,1.0
TM094,Q12,multi_agent_information_services,English/Latin,Storytelling as a Research Tool Used to Explore Insights and as an Intervention in Public Health: A Systematic Narrative Review. International Journal of Public Health. 2021.,Storytelling as a Research Tool Used to Explore Insights and as an Intervention in Public Health: A Systematic Narrative Review,match,match,match,1.0
TM095,Q194,biomedical_evidence_synthesis,English/Latin,Artificial intelligence in headache medicine: between automation and the doctor-patient relationship. A systematic review. The Journal of Headache and Pain. 2025.,Artificial intelligence and neuroscience: A systematic review,nonmatch,nonmatch,nonmatch,0.8333333333333334
TM096,Q107,multi_agent_information_services,English/Latin,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The agentic economy,nonmatch,nonmatch,nonmatch,0.6666666666666666
TM097,Q139,digital_humanities,English/Latin,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis. CrossRef. 2025.,End-to-End Reliability of Automated Systems for Diagnostic Data Extraction: A Benchmark Study in Uro-Oncologic Evidence Synthesis,match,match,match,1.0
TM098,Q67,multi_agent_information_services,English/Latin,AI-based chatbots in customer service and their effects on user compliance. Electronic Markets. 2020.,Agentic AI for Customer Service and Contact Center Solutions,nonmatch,nonmatch,nonmatch,0.5063291139240507
TM099,Q76,multi_agent_information_services,English/Latin,"AI or Human? An Analysis of University Students' Awareness of Reference Services Agent. D Wang, J Guo, K Zheng - International Conference on Asian Digital …, 2024 - Springer. 2024.",AI or Human? An Analysis of University Students' Awareness of Reference Services Agent,match,match,match,1.0
TM100,Q104,multi_agent_information_services,English/Latin,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,nonmatch,match,nonmatch,1.0
TM101,Q25,multi_agent_information_services,English/Latin,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.",Ethics and Floods: A Systematic Review.,nonmatch,nonmatch,nonmatch,0.6
TM102,Q42,multi_agent_information_services,English/Latin,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,nonmatch,nonmatch,nonmatch,0.5714285714285714
TM103,Q216,climate_policy_research,English/Latin,Editorial: Evidence synthesis for accelerated learning on climate solutions. Campbell Systematic Reviews. 2020.,Editorial: Evidence synthesis for accelerated learning on climate solutions,match,match,match,1.0
TM104,Q16,multi_agent_information_services,English/Latin,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.","ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope",match,match,match,1.0
TM105,Q157,biomedical_evidence_synthesis,English/Latin,Bridging Literature and the Universe Via A Multi-Agent Large Language Model System. arXiv Preprint. 2025.,Bridging Literature and the Universe Via A Multi-Agent Large Language Model System,match,match,match,1.0
